country_name,country_code,indicator_name,indicator_code,debt
Afghanistan,AFG,"IFC, private nonguaranteed (NFL, current US$)",DT.NFL.NIFC.CD,45882354
Afghanistan,AFG,"IMF charges (INT, current US$)",DT.INT.DIMF.CD,10396476
Afghanistan,AFG,"IMF purchases (DIS, current US$)",DT.DIS.DIMF.CD,684929747
Afghanistan,AFG,"IMF repurchases (AMT, current US$)",DT.AMT.DIMF.CD,583079415
Afghanistan,AFG,"IMF repurchases and charges (TDS, current US$)",DT.TDS.DIMF.CD,593475891
Afghanistan,AFG,"Imports of goods, services and primary income (current US$)",BM.GSR.TOTL.CD,96370208795
Afghanistan,AFG,"Interest arrears, long-term DOD",DT.IXA.DLXF.CD,2226527189
Afghanistan,AFG,"Interest arrears, official creditors (current US$)",DT.IXA.OFFT.CD,2226395189
Afghanistan,AFG,"Interest arrears, private creditors (current US$)",DT.IXA.PRVT.CD,132000
Afghanistan,AFG,Interest forgiven (current US$),DT.IXF.DPPG.CD,18882367
Afghanistan,AFG,"Interest payments on external debt (% of exports of goods, services and primary income)",DT.INT.DECT.EX.ZS,8
Afghanistan,AFG,Interest payments on external debt (% of GNI),DT.INT.DECT.GN.ZS,1
Afghanistan,AFG,"Interest payments on external debt, central bank (PPG) (INT, current US$)",DT.INT.DECB.CD,0
Afghanistan,AFG,"Interest payments on external debt, general government sector (PPG) (INT, current US$)",DT.INT.DEGG.CD,305661988
Afghanistan,AFG,"Interest payments on external debt, long-term (INT, current US$)",DT.INT.DLXF.CD,314255988
Afghanistan,AFG,"Interest payments on external debt, other public sector (PPG) (INT, current US$)",DT.INT.DOPS.CD,0
Afghanistan,AFG,"Interest payments on external debt, private guaranteed by public sector (PPG) (INT, current US$)",DT.INT.PRPG.CD,0
Afghanistan,AFG,"Interest payments on external debt, private nonguaranteed (PNG) (INT, current US$)",DT.INT.DPNG.CD,8594000
Afghanistan,AFG,"Interest payments on external debt, public and publicly guaranteed (PPG) (INT, current US$)",DT.INT.DPPG.CD,305661988
Afghanistan,AFG,"Interest payments on external debt, public sector (PPG) (INT, current US$)",DT.INT.DEPS.CD,305661988
